Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,8,10,32,12,0,22,0,12013.644230482234
1980,8,11,33,10,0,21.5,0,10480.564384872236
1980,8,12,30.5,14,0,22.25,0,15472.810597414942
1980,8,13,29.5,14,0,21.75,0,16889.928310894975
1980,8,14,26,13,9,19.5,0.9,28023.604396369872
1980,8,15,25.5,13,0,19.25,0,25178.626134966056
1980,8,16,26.5,7.5,0,17,0,15130.905197177673
1980,8,17,27,5,0,16,0,12093.609888361825
1980,8,18,26,6,0,16,0,13437.344320402028
1980,8,19,24,8.5,0,16.25,0,19837.03808814241
1980,8,20,27.5,3.5,0,15.5,0,11099.42024143174
1980,8,21,29.5,4.5,0,17,0,10087.270131451782
1980,8,22,28.5,8.5,0,18.5,0,13766.55541905212
1980,8,23,26,10,0,18,0,20124.22913090314
1980,8,24,22.5,12.5,18,17.5,1.8,39093.09721924789
1980,8,25,24.5,8,9,16.25,0.9,27771.853323399377
1980,8,26,26.5,7,0,16.75,0,20497.018836155694
1980,8,27,27,7.5,0,17.25,0,21098.86338192678
1980,8,28,27,9,0,18,0,22491.78549924469
1980,8,29,26,9.5,0,17.75,0,25253.571488951307
1980,8,30,26,9,0,17.5,0,24433.18576202993
1980,8,31,25.5,5.5,0,15.5,0,20811.412952684514
1980,9,1,26.5,3.5,0,15,0,17192.67670138761
1980,9,2,27.5,4.5,0,16,0,17468.547616522636
1980,9,3,28,4.5,0,16.25,0,17192.099676390088
1980,9,4,28.5,8.5,0,18.5,0,20649.83312857818
1980,9,5,25.5,12,4,18.75,0.4,37270.46338324899
1980,9,6,24.5,9.5,0,17,0,30261.810394355347
1980,9,7,24.5,8,4,16.25,0.4,31739.260941027856
1980,9,8,22,10,5,16,0.5,41655.76739324628
1980,9,9,23,6.5,0,14.75,0,29119.839388957673
1980,9,10,21.5,8,4,14.75,0.4,37855.79120564497
1980,9,11,23,4,0,13.5,0,25262.23902525247
1980,9,12,24,4,0,14,0,24454.155862991793
1980,9,13,23.5,5.5,0,14.5,0,26634.35029165692
1980,9,14,25,7,0,16,0,26874.688640804055
1980,9,15,26.5,6,0,16.25,0,23804.44570577089
1980,9,16,28,6,0,17,0,22696.357795766507
1980,9,17,29.5,6,0,17.75,0,20443.367395817724
1980,9,18,29,7,0,18,0,22491.78549924469
1980,9,19,27.5,11,0,19.25,0,30652.24051213259
1980,9,20,25.5,3.5,0,14.5,0,22195.291909714102
1980,9,21,25,6,0,15.5,0,26361.123073400388
1980,9,22,24,0,0,12,0,20904.04863057949
1980,9,23,24.5,1.5,0,13,0,22837.863142088332
1980,9,24,26,1.5,0,13.75,0,20194.29041458936
1980,9,25,26,1,0,13.5,0,20525.56920801763
1980,9,26,22.5,4.5,0,13.5,0,28420.01890340903
1980,9,27,24,4,0,14,0,25982.540604428785
1980,9,28,25.5,4.5,0,15,0,25789.015052081413
1980,9,29,27.5,4,0,15.75,0,21846.154197798107
